time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1742264432.05655289,0.01646546,13962,0.00368735,0.00000000,0,0.00000000,3581,5202,2339,0.00000000
1742264432.15628505,0.01539557,13969,0.00371430,0.00000000,0,0.00000000,5202,6067,1924,0.00394629
1742264432.25687003,0.01475897,13954,0.00293605,0.00000000,0,0.00000000,6067,6886,1503,0.00347106
1742264432.35623288,0.01546398,13996,0.00334169,0.00000000,0,0.00000000,6886,7178,1167,0.00301947
1742264432.45590591,0.01531091,13967,0.00330233,0.00000000,0,0.00000000,7178,7845,1553,0.00353103
1742264432.55667496,0.01950412,13929,0.00308568,0.00000000,0,0.00000000,7845,8314,1251,0.00356127
1742264432.65619707,0.01693013,13998,0.00291607,0.00000000,0,0.00000000,8314,8701,1138,0.00308601
1742264432.75608993,0.01515064,13993,0.00285650,0.00000000,0,0.00000000,8701,9250,1232,0.00334457
1742264432.85671711,0.01466940,13973,0.00237165,0.00000000,0,0.00000000,9250,9856,1113,0.00363661
1742264432.95623112,0.02061511,14028,0.00311728,0.00000000,0,0.00000000,9856,10296,1168,0.00333401
1742264433.05698299,0.01532192,14024,0.00262129,0.00000000,0,0.00000000,10296,10791,1199,0.00275483
1742264433.15710402,0.01552493,14022,0.00297490,0.00000000,0,0.00000000,10791,11078,1199,0.00315384
1742264433.25681496,0.02177897,14055,0.00267999,0.00000000,0,0.00000000,11078,11505,993,0.00253052
1742264433.35614491,0.01511590,14023,0.00246683,0.00000000,0,0.00000000,11505,11886,1038,0.00250156
1742264433.45603895,0.02153857,14042,0.00314099,0.00000000,0,0.00000000,11886,12178,1068,0.00265351
1742264433.55637693,0.01554234,14029,0.00266654,0.00000000,0,0.00000000,12178,12571,1045,0.00270212
1742264433.65609407,0.02135227,13990,0.00273977,0.00000000,0,0.00000000,12571,12932,971,0.00249483
1742264433.75603700,0.02197772,14030,0.00388694,0.00000000,0,0.00000000,12932,13259,1316,0.00248032
1742264433.85600901,0.02346295,13995,0.00368157,0.00000000,0,0.00000000,13259,13711,1235,0.00252833
1742264433.95604300,0.01656795,13995,0.00163383,0.00000000,0,0.00000000,13711,13812,549,0.00247861
1742264434.05670309,0.01850905,13980,0.00350759,0.00000000,0,0.00000000,13812,14544,1587,0.00251932
1742264434.15648007,0.01604752,13946,0.00318003,0.00000000,0,0.00000000,14544,15142,1274,0.00246687
1742264434.25623989,0.01777287,13898,0.00278386,0.00000000,0,0.00000000,15142,15561,1086,0.00249172
1742264434.35631204,0.01807855,13848,0.00321861,0.00000000,0,0.00000000,15561,16077,1317,0.00251340
1742264434.45646811,0.01859667,13858,0.00344581,0.00000000,0,0.00000000,16077,16443,1203,0.00271150
1742264434.55620694,0.01815242,13828,0.00322590,0.00000000,0,0.00000000,16443,16727,1075,0.00252206
1742264434.65626502,0.01729747,13816,0.00266953,0.00000000,0,0.00000000,16727,17264,1080,0.00245984
1742264434.75613189,0.01739732,13773,0.00256744,0.00000000,0,0.00000000,17264,17657,967,0.00251417
1742264434.85594010,0.01771583,13755,0.00269461,0.00000000,0,0.00000000,17657,17978,971,0.00274125
1742264434.95602703,0.01730797,13751,0.00244028,0.00000000,0,0.00000000,17978,18335,967,0.00276245
1742264435.05635309,0.01721219,13728,0.00235688,0.00000000,0,0.00000000,18335,18563,865,0.00272671
1742264435.15614700,0.01817234,13755,0.00307986,0.00000000,0,0.00000000,18563,19032,1241,0.00253066
1742264435.25660110,0.01779068,13694,0.00293076,0.00000000,0,0.00000000,19032,19537,1220,0.00254485
1742264435.35662699,0.01811785,13689,0.00294552,0.00000000,0,0.00000000,19537,19922,1084,0.00249361
1742264435.45648789,0.01813240,13670,0.00302867,0.00000000,0,0.00000000,19922,20330,1062,0.00281961
1742264435.55626392,0.01799363,13684,0.00274784,0.00000000,0,0.00000000,20330,20743,1001,0.00252753
1742264435.65630698,0.01797539,13688,0.00290431,0.00000000,0,0.00000000,20743,21101,1042,0.00270401
1742264435.75711894,0.01857351,13660,0.00349684,0.00000000,0,0.00000000,21101,21612,1287,0.00256030
1742264435.85600305,0.01844387,13653,0.00343401,0.00000000,0,0.00000000,21612,21809,984,0.00250551
1742264435.95688510,0.01749353,13643,0.00249687,0.00000000,0,0.00000000,21809,22272,892,0.00249463
1742264436.05641294,0.01825255,13663,0.00305170,0.00000000,0,0.00000000,22272,22672,1056,0.00254772
1742264436.15649104,0.01810885,13624,0.00291892,0.00000000,0,0.00000000,22672,23200,1172,0.00253915
1742264436.25616908,0.01788983,13630,0.00301641,0.00000000,0,0.00000000,23200,23648,1075,0.00250207
